,median_forecast,mean_forecast,std_forecast,min_forecast,max_forecast,num_respondents
2007-04-09,3.69,3.74,0.3,3.14,4.61,
2007-04-10,3.69,3.74,0.3,3.14,4.61,
2007-04-11,3.64,3.66,0.32,3.03,4.7,
2007-04-12,3.64,3.65,0.32,3.03,4.7,
2007-04-13,3.65,3.64,0.32,2.91,4.7,
2007-04-16,3.62,3.62,0.31,2.96,4.7,
2007-04-17,3.62,3.63,0.31,2.96,4.7,
2007-04-18,3.61,3.62,0.31,2.96,4.7,
2007-04-19,3.59,3.6,0.32,2.91,4.7,
2007-04-20,3.59,3.58,0.32,2.91,4.7,
2007-04-23,3.57,3.58,0.32,2.91,4.7,
2007-04-24,3.55,3.55,0.33,2.91,4.7,
2007-04-25,3.54,3.54,0.33,2.91,4.7,
2007-04-26,3.52,3.52,0.34,2.86,4.7,
2007-04-27,3.51,3.49,0.35,2.86,4.7,
2007-04-30,3.49,3.47,0.35,2.86,4.7,
2007-05-01,3.4800000000000004,3.47,0.35,2.86,4.7,
2007-05-02,3.47,3.47,0.35,2.86,4.7,
2007-05-03,3.47,3.46,0.35,2.86,4.7,
2007-05-04,3.45,3.45,0.36,2.86,4.7,
2007-05-07,3.44,3.44,0.36,2.86,4.7,
2007-05-08,3.44,3.44,0.36,2.84,4.7,
2007-05-09,3.4,3.42,0.37,2.73,4.7,
2007-05-10,3.43,3.43,0.37,2.73,4.7,
2007-05-11,3.45,3.46,0.37,2.75,4.74,
2007-05-14,3.44,3.42,0.34,2.61,4.03,
2007-05-15,3.47,3.46,0.32,2.82,4.03,
2007-05-16,3.47,3.48,0.37,2.82,4.74,
2007-05-17,3.44,3.46,0.36,2.82,4.74,
2007-05-18,3.46,3.45,0.37,2.82,4.68,
2007-05-21,3.44,3.45,0.36,2.82,4.68,
2007-05-22,3.45,3.45,0.36,2.82,4.68,
2007-05-23,3.38,3.42,0.36,2.82,4.68,
2007-05-24,3.38,3.42,0.35,2.82,4.68,
2007-05-25,3.38,3.42,0.35,2.82,4.68,
2007-05-28,3.38,3.41,0.35,2.82,4.68,
2007-05-29,3.37,3.4,0.36,2.82,4.68,
2007-05-30,3.37,3.41,0.35,2.86,4.68,
2007-05-31,3.37,3.4,0.35,2.86,4.68,
2007-06-01,3.37,3.4,0.35,2.86,4.68,
2007-06-04,3.37,3.39,0.34,2.86,4.68,
2007-06-05,3.37,3.39,0.34,2.86,4.68,
2007-06-06,3.4,3.43,0.35,2.86,4.85,
2007-06-07,3.4,3.43,0.345,2.86,4.85,
2007-06-08,3.4,3.43,0.34,2.86,4.85,
2007-06-11,3.4,3.43,0.35,2.86,4.85,
2007-06-12,3.4,3.44,0.34,2.9,4.85,
2007-06-13,3.4,3.44,0.34,2.9,4.85,
2007-06-14,3.4,3.45,0.34,2.9,4.85,
2007-06-15,3.41,3.46,0.34,2.9,4.85,
2007-06-18,3.41,3.44,0.28,2.9,3.97,
2007-06-19,3.41,3.43,0.27,2.9,3.93,
2007-06-20,3.41,3.43,0.27,2.94,3.93,
2007-06-21,3.48,3.44,0.26,2.94,3.93,
2007-06-22,3.48,3.45,0.26,2.94,3.93,
2007-06-25,3.48,3.46,0.26,2.95,3.93,
2007-06-26,3.48,3.46,0.26,2.95,3.93,
2007-06-27,3.48,3.46,0.26,2.95,3.93,
2007-06-28,3.49,3.47,0.26,2.95,3.86,
2007-06-29,3.49,3.47,0.25,2.95,3.89,
2007-07-02,3.5,3.48,0.25,2.94,3.9,
2007-07-03,3.5,3.48,0.25,2.94,3.9,
2007-07-04,3.5,3.49,0.25,2.94,3.9,
2007-07-05,3.5,3.49,0.25,2.94,3.9,
2007-07-06,3.5,3.47,0.28,2.81,3.88,
2007-07-09,3.5,3.46,0.28,2.81,3.88,
2007-07-10,3.49,3.46,0.28,2.81,3.88,
2007-07-11,3.53,3.47,0.27,2.88,3.88,
2007-07-12,3.55,3.47,0.27,2.88,3.88,
2007-07-13,3.5,3.46,0.27,2.88,3.88,
2007-07-16,3.5,3.46,0.27,2.88,3.88,
2007-07-17,3.5,3.46,0.26,2.88,3.88,
2007-07-18,3.51,3.5,0.26,2.98,4.21,
2007-07-19,3.54,3.5,0.26,2.98,4.21,
2007-07-20,3.56,3.51,0.26,2.99,4.21,
2007-07-23,3.56,3.51,0.26,2.99,4.21,
2007-07-24,3.58,3.53,0.27,2.99,4.26,
2007-07-25,3.6,3.53,0.27,2.99,4.26,
2007-07-26,3.6,3.53,0.27,2.99,4.26,
2007-07-27,3.6,3.54,0.27,2.99,4.26,
2007-07-30,3.6,3.54,0.27,2.99,4.26,
2007-07-31,3.6,3.55,0.28,2.91,4.26,
2007-08-01,3.6,3.56,0.28,2.91,4.26,
2007-08-02,3.6,3.56,0.28,2.91,4.26,
2007-08-03,3.6,3.56,0.28,2.91,4.26,
2007-08-06,3.6,3.55,0.28,2.91,4.26,
2007-08-07,3.6,3.55,0.28,2.91,4.26,
2007-08-08,3.67,3.62,0.29,3.03,4.27,
2007-08-09,3.66,3.62,0.28,3.03,4.27,
2007-08-10,3.64,3.62,0.27,3.09,4.27,
2007-08-13,3.67,3.63,0.28,3.09,4.27,
2007-08-14,3.67,3.64,0.28,3.09,4.32,
2007-08-15,3.67,3.65,0.28,3.09,4.32,
2007-08-16,3.67,3.66,0.29,3.09,4.32,
2007-08-17,3.67,3.66,0.29,3.09,4.32,
2007-08-20,3.69,3.68,0.28,3.09,4.32,
2007-08-21,3.68,3.66,0.33,2.44,4.34,
2007-08-22,3.7,3.7,0.33,2.44,4.28,
2007-08-23,3.73,3.74,0.33,2.44,4.28,
2007-08-24,3.75,3.75,0.34,2.44,4.37,
2007-08-27,3.81,3.78,0.35,2.44,4.37,
2007-08-28,3.87,3.8,0.34,2.44,4.37,
2007-08-29,3.88,3.81,0.34,2.44,4.37,
2007-08-30,3.9,3.82,0.35,2.44,4.49,
2007-08-31,3.87,3.83,0.35,2.44,4.49,
2007-09-03,3.87,3.84,0.34,2.44,4.49,
2007-09-04,3.87,3.84,0.35,2.44,4.51,
2007-09-05,3.88,3.87,0.35,2.74,4.75,
2007-09-06,3.71,3.73,0.35,2.53,4.55,
2007-09-07,3.71,3.7350000000000003,0.35,2.53,4.55,
2007-09-10,3.71,3.74,0.35,2.53,4.55,
2007-09-11,3.77,3.76,0.35,2.53,4.55,
2007-09-12,3.77,3.76,0.35,2.53,4.55,
2007-09-13,3.76,3.76,0.35,2.53,4.55,
2007-09-14,3.79,3.76,0.35,2.53,4.55,
2007-09-17,3.79,3.77,0.34,2.53,4.55,
2007-09-18,3.79,3.76,0.34,2.53,4.55,
2007-09-19,3.79,3.76,0.33,2.53,4.42,
2007-09-20,3.82,3.77,0.32,2.53,4.42,
2007-09-21,3.8,3.77,0.32,2.53,4.42,
2007-09-24,3.8,3.76,0.32,2.53,4.42,
2007-09-25,3.8,3.76,0.33,2.53,4.42,
2007-09-26,3.8,3.75,0.33,2.53,4.42,
2007-09-27,3.8,3.76,0.33,2.53,4.42,
2007-09-28,3.8,3.75,0.32,2.62,4.42,
2007-10-01,3.78,3.74,0.33,2.62,4.42,
2007-10-02,3.77,3.75,0.33,2.62,4.42,
2007-10-03,3.79,3.76,0.34,2.62,4.42,
2007-10-04,3.8,3.76,0.34,2.62,4.42,
2007-10-05,3.8,3.76,0.34,2.63,4.42,
2007-10-08,3.8,3.76,0.34,2.63,4.42,
2007-10-09,3.79,3.76,0.34,2.63,4.42,
2007-10-10,3.83,3.76,0.41,1.99,4.53,
2007-10-11,3.83,3.76,0.41,1.99,4.53,
2007-10-12,3.825,3.76,0.41,2.015,4.53,
2007-10-15,3.82,3.76,0.41,2.04,4.53,
2007-10-16,3.82,3.76,0.41,2.04,4.53,
2007-10-17,3.83,3.77,0.41,2.04,4.53,
2007-10-18,3.83,3.76,0.4,2.04,4.53,
2007-10-19,3.82,3.75,0.4,1.99,4.49,
2007-10-22,3.8,3.73,0.41,2.04,4.49,
2007-10-23,3.81,3.73,0.39,2.04,4.44,
2007-10-24,3.82,3.72,0.39,2.04,4.44,
2007-10-25,3.78,3.72,0.39,2.04,4.44,
2007-10-26,3.78,3.72,0.38,2.04,4.44,
2007-10-29,3.8,3.72,0.38,2.04,4.44,
2007-10-30,3.79,3.71,0.38,2.04,4.44,
2007-10-31,3.78,3.71,0.37,2.04,4.44,
2007-11-01,3.77,3.71,0.38,1.88,4.44,
2007-11-02,3.77,3.7,0.385,1.88,4.44,
2007-11-05,3.77,3.69,0.39,1.88,4.44,
2007-11-06,3.77,3.69,0.39,1.88,4.44,
2007-11-07,3.86,3.79,0.43,1.82,4.6,
2007-11-08,3.85,3.78,0.42,1.82,4.58,
2007-11-09,3.87,3.8,0.42,1.82,4.58,
2007-11-12,3.87,3.8,0.4,1.98,4.58,
2007-11-13,3.88,3.8,0.4,1.98,4.58,
2007-11-14,3.89,3.8,0.41,1.92,4.58,
2007-11-15,3.89,3.8,0.41,1.92,4.58,
2007-11-16,3.89,3.8,0.41,1.92,4.58,
2007-11-19,3.88,3.81,0.41,1.92,4.58,
2007-11-20,3.88,3.81,0.41,1.92,4.58,
2007-11-21,3.89,3.82,0.41,1.92,4.58,
2007-11-22,3.93,3.84,0.42,1.92,4.58,
2007-11-23,3.92,3.84,0.42,1.92,4.58,
2007-11-26,3.9,3.83,0.41,1.92,4.58,
2007-11-27,3.9,3.83,0.41,1.92,4.58,
2007-11-28,3.9,3.84,0.42,1.92,4.58,
2007-11-29,3.93,3.84,0.42,1.92,4.58,
2007-11-30,3.95,3.85,0.42,1.92,4.58,
2007-12-03,3.95,3.86,0.41,2.08,4.58,
2007-12-04,3.95,3.86,0.41,2.08,4.58,
2007-12-05,3.95,3.87,0.39,2.36,4.58,
2007-12-06,3.97,3.96,0.35,3.06,4.97,
2007-12-07,4.02,4.0,0.37,3.06,4.97,
2007-12-10,4.04,4.04,0.37,3.06,4.97,
2007-12-11,4.09,4.07,0.37,3.07,4.97,
2007-12-12,4.13,4.09,0.38,3.07,4.97,
2007-12-13,4.13,4.12,0.37,3.07,4.97,
2007-12-14,4.16,4.15,0.38,3.07,4.97,
2007-12-17,4.16,4.17,0.39,3.07,5.18,
2007-12-18,4.19,4.22,0.36,3.34,5.18,
2007-12-19,4.38,4.35,0.37,3.34,5.18,
2007-12-20,4.39,4.38,0.39,3.34,5.2,
2007-12-21,4.43,4.38,0.42,3.18,5.2,
2007-12-24,4.46,4.41,0.4,3.18,5.2,
2007-12-25,4.46,4.415,0.4,3.18,5.2,
2007-12-26,4.46,4.42,0.4,3.18,5.2,
2007-12-27,4.47,4.43,0.4,3.18,5.31,
2007-12-28,4.48,4.44,0.4,3.18,5.35,
2007-12-31,4.48,4.45,0.41,3.18,5.35,
2008-01-01,4.48,4.455,0.41,3.165,5.35,
2008-01-02,4.48,4.46,0.41,3.15,5.35,
2008-01-03,4.49,4.47,0.41,3.15,5.35,
2008-01-04,4.49,4.49,0.38,3.15,5.35,
2008-01-07,4.49,4.49,0.38,3.15,5.35,
2008-01-08,4.5,4.51,0.35,3.38,5.35,
2008-01-09,4.51,4.51,0.35,3.38,5.35,
2008-01-10,4.5,4.52,0.36,3.38,5.35,
2008-01-11,4.29,4.26,0.38,2.93,5.12,
2008-01-14,4.33,4.3,0.35,2.97,5.12,
2008-01-15,4.33,4.32,0.35,2.97,5.12,
2008-01-16,4.33,4.32,0.35,2.97,5.12,
2008-01-17,4.33,4.33,0.34,2.97,5.12,
2008-01-18,4.38,4.35,0.35,2.97,5.12,
2008-01-21,4.41,4.38,0.36,2.97,5.12,
2008-01-22,4.41,4.38,0.36,2.97,5.12,
2008-01-23,4.42,4.42,0.31,3.3,5.24,
2008-01-24,4.43,4.44,0.27,3.75,5.24,
2008-01-25,4.43,4.45,0.27,3.75,5.24,
2008-01-28,4.43,4.45,0.27,3.75,5.24,
2008-01-29,4.43,4.44,0.27,3.75,5.24,
2008-01-30,4.43,4.44,0.27,3.75,5.24,
2008-01-31,4.43,4.44,0.27,3.75,5.24,
2008-02-01,4.43,4.44,0.27,3.75,5.24,
2008-02-04,4.43,4.443333333333333,0.27,3.75,5.24,
2008-02-05,4.43,4.446666666666667,0.27,3.75,5.24,
2008-02-06,4.43,4.45,0.27,3.75,5.24,
2008-02-07,4.42,4.45,0.26,3.75,5.24,
2008-02-08,4.44,4.46,0.26,3.75,5.24,
2008-02-11,4.41,4.45,0.27,3.75,5.24,
2008-02-12,4.41,4.45,0.26,3.75,5.24,
2008-02-13,4.24,4.26,0.31,3.57,5.14,
2008-02-14,4.24,4.25,0.3,3.57,5.1,
2008-02-15,4.27,4.27,0.3,3.57,5.1,
2008-02-18,4.27,4.26,0.3,3.57,5.1,
2008-02-19,4.28,4.27,0.31,3.57,5.1,
2008-02-20,4.29,4.27,0.31,3.57,5.1,
2008-02-21,4.29,4.27,0.31,3.57,5.1,
2008-02-22,4.29,4.27,0.3,3.57,4.92,
2008-02-25,4.3,4.26,0.31,3.57,5.09,
2008-02-26,4.3,4.26,0.31,3.57,5.09,
2008-02-27,4.3,4.27,0.31,3.57,5.09,
2008-02-28,4.3,4.28,0.29,3.76,5.09,
2008-02-29,4.3,4.28,0.29,3.76,5.09,
2008-03-03,4.3,4.27,0.29,3.83,5.09,
2008-03-04,4.3,4.28,0.29,3.83,5.09,
2008-03-05,4.3,4.28,0.29,3.83,5.09,
2008-03-06,4.32,4.29,0.29,3.82,5.09,
2008-03-07,4.31,4.29,0.29,3.82,5.09,
2008-03-10,4.34,4.3,0.29,3.82,5.09,
2008-03-11,4.25,4.28,0.3,3.72,5.23,
2008-03-12,4.25,4.28,0.3,3.72,5.23,
2008-03-13,4.25,4.27,0.3,3.72,5.23,
2008-03-14,4.25,4.28,0.31,3.72,5.23,
2008-03-17,4.25,4.28,0.31,3.72,5.23,
2008-03-18,4.27,4.29,0.31,3.72,5.23,
2008-03-19,4.27,4.29,0.32,3.72,5.23,
2008-03-20,4.28,4.3,0.32,3.72,5.23,
2008-03-21,4.29,4.305,0.315,3.72,5.23,
2008-03-24,4.3,4.31,0.31,3.72,5.23,
2008-03-25,4.36,4.36,0.29,3.83,5.25,
2008-03-26,4.36,4.36,0.29,3.83,5.25,
2008-03-27,4.39,4.37,0.29,3.83,5.25,
2008-03-28,4.36,4.37,0.29,3.83,5.25,
2008-03-31,4.33,4.36,0.3,3.83,5.25,
2008-04-01,4.33,4.37,0.29,3.83,5.25,
2008-04-02,4.33,4.37,0.29,3.83,5.25,
2008-04-03,4.33,4.38,0.3,3.83,5.25,
2008-04-04,4.33,4.39,0.29,3.83,5.25,
2008-04-07,4.42,4.4,0.3,3.83,5.25,
2008-04-08,4.43,4.41,0.29,3.83,5.25,
2008-04-09,4.39,4.41,0.28,3.88,5.16,
2008-04-10,4.38,4.41,0.28,3.88,5.14,
2008-04-11,4.38,4.42,0.29,3.88,5.14,
2008-04-14,4.39,4.42,0.28,3.89,5.14,
2008-04-15,4.42,4.46,0.28,3.98,5.14,
2008-04-16,4.42,4.46,0.28,3.98,5.14,
2008-04-17,4.39,4.44,0.33,3.23,5.14,
2008-04-18,4.41,4.45,0.34,3.23,5.19,
2008-04-21,4.415,4.45,0.345,3.23,5.19,
2008-04-22,4.42,4.45,0.35,3.23,5.19,
2008-04-23,4.46,4.46,0.35,3.23,5.23,
2008-04-24,4.52,4.52,0.36,3.23,5.19,
2008-04-25,4.53,4.53,0.36,3.23,5.19,
2008-04-28,4.53,4.53,0.36,3.23,5.19,
2008-04-29,4.54,4.56,0.37,3.23,5.19,
2008-04-30,4.52,4.56,0.37,3.23,5.19,
2008-05-01,4.539999999999999,4.574999999999999,0.37,3.23,5.19,
2008-05-02,4.56,4.59,0.37,3.23,5.19,
2008-05-05,4.59,4.6,0.37,3.23,5.19,
2008-05-06,4.59,4.62,0.36,3.23,5.19,
2008-05-07,4.59,4.62,0.36,3.23,5.2,
2008-05-08,4.61,4.66,0.41,3.23,5.59,
2008-05-09,4.45,4.5,0.43,3.01,5.43,
2008-05-12,4.5,4.55,0.43,3.01,5.43,
2008-05-13,4.57,4.59,0.44,3.01,5.43,
2008-05-14,4.57,4.6,0.45,3.01,5.54,
2008-05-15,4.64,4.66,0.48,3.01,5.57,
2008-05-16,4.68,4.73,0.48,3.01,5.59,
2008-05-19,4.8,4.83,0.41,4.0,5.7,
2008-05-20,4.81,4.84,0.41,4.0,5.7,
2008-05-21,4.81,4.85,0.41,4.0,5.7,
2008-05-22,4.824999999999999,4.865,0.405,4.0,5.7,
2008-05-23,4.84,4.88,0.4,4.0,5.7,
2008-05-26,4.86,4.94,0.38,4.18,5.71,
2008-05-27,4.98,5.06,0.36,4.18,5.77,
2008-05-28,4.98,5.06,0.36,4.18,5.77,
2008-05-29,4.98,5.06,0.36,4.18,5.77,
2008-05-30,5.01,5.08,0.33,4.53,5.77,
2008-06-02,5.01,5.08,0.33,4.53,5.77,
2008-06-03,5.02,5.09,0.33,4.53,5.77,
2008-06-04,5.04,5.1,0.34,4.53,5.77,
2008-06-05,5.03,5.1,0.34,4.53,5.77,
2008-06-06,5.08,5.16,0.37,4.59,6.24,
2008-06-09,5.08,5.16,0.37,4.59,6.24,
2008-06-10,5.15,5.22,0.4,4.59,6.29,
2008-06-11,4.83,4.94,0.43,4.3,6.1,
2008-06-12,4.93,5.01,0.45,4.3,6.1,
2008-06-13,4.94,5.07,0.5,4.3,6.11,
2008-06-16,4.96,5.09,0.49,4.3,6.11,
2008-06-17,5.04,5.11,0.5,4.3,6.11,
2008-06-18,5.06,5.15,0.5,4.3,6.22,
2008-06-19,5.22,5.21,0.5,4.3,6.22,
2008-06-20,5.22,5.24,0.51,4.3,6.28,
2008-06-23,5.36,5.28,0.5,4.3,6.28,
2008-06-24,5.47,5.38,0.47,4.48,6.28,
2008-06-25,5.47,5.4,0.49,4.48,6.54,
2008-06-26,5.49,5.47,0.52,4.48,6.66,
2008-06-27,5.5,5.52,0.54,4.53,6.66,
2008-06-30,5.51,5.6,0.56,4.56,6.7,
2008-07-01,5.51,5.6,0.56,4.56,6.7,
2008-07-02,5.52,5.61,0.56,4.56,6.7,
2008-07-03,5.59,5.66,0.57,4.56,6.7,
2008-07-04,5.62,5.7,0.55,4.56,6.73,
2008-07-07,5.62,5.71,0.55,4.56,6.73,
2008-07-08,5.68,5.77,0.5,4.6,6.73,
2008-07-09,5.68,5.79,0.51,4.6,6.75,
2008-07-10,5.36,5.37,0.45,4.23,6.31,
2008-07-11,5.36,5.37,0.44,4.23,6.31,
2008-07-14,5.38,5.42,0.44,4.23,6.26,
2008-07-15,5.43,5.44,0.44,4.23,6.26,
2008-07-16,5.43,5.44,0.44,4.23,6.26,
2008-07-17,5.41,5.43,0.45,4.23,6.26,
2008-07-18,5.44,5.45,0.45,4.23,6.26,
2008-07-21,5.47,5.46,0.44,4.23,6.26,
2008-07-22,5.48,5.48,0.42,4.52,6.26,
2008-07-23,5.56,5.51,0.43,4.55,6.38,
2008-07-24,5.56,5.51,0.43,4.52,6.38,
2008-07-25,5.57,5.52,0.43,4.48,6.38,
2008-07-28,5.57,5.51,0.44,4.48,6.38,
2008-07-29,5.57,5.51,0.43,4.48,6.38,
2008-07-30,5.57,5.51,0.43,4.48,6.38,
2008-07-31,5.55,5.49,0.43,4.47,6.38,
2008-08-01,5.56,5.48,0.42,4.47,6.38,
2008-08-04,5.54,5.46,0.44,4.43,6.38,
2008-08-05,5.52,5.45,0.45,4.43,6.38,
2008-08-06,5.52,5.44,0.45,4.39,6.38,
2008-08-07,5.51,5.43,0.45,4.39,6.46,
2008-08-08,5.3,5.27,0.44,4.19,6.35,
2008-08-11,5.29,5.26,0.45,4.19,6.35,
2008-08-12,5.29,5.25,0.45,4.21,6.35,
2008-08-13,5.29,5.25,0.44,4.21,6.35,
2008-08-14,5.3,5.26,0.43,4.21,6.35,
2008-08-15,5.3,5.25,0.43,4.21,6.35,
2008-08-18,5.29,5.24,0.44,4.21,6.35,
2008-08-19,5.29,5.21,0.42,4.21,5.91,
2008-08-20,5.28,5.2,0.42,4.21,5.91,
2008-08-21,5.25,5.18,0.42,4.21,5.92,
2008-08-22,5.22,5.16,0.42,4.07,5.92,
2008-08-25,5.21,5.16,0.42,4.07,5.92,
2008-08-26,5.21,5.16,0.42,4.07,5.92,
2008-08-27,5.21,5.16,0.42,4.07,5.92,
2008-08-28,5.19,5.16,0.4,4.25,5.92,
2008-08-29,5.16,5.16,0.4,4.25,5.92,
2008-09-01,5.16,5.16,0.4,4.25,5.92,
2008-09-02,5.14,5.15,0.4,4.25,5.92,
2008-09-03,5.13,5.14,0.41,4.25,5.92,
2008-09-04,5.13,5.14,0.4,4.25,5.92,
2008-09-05,5.22,5.2,0.41,4.27,6.02,
2008-09-08,5.25,5.2,0.41,4.27,6.02,
2008-09-09,5.23,5.2,0.41,4.24,6.02,
2008-09-10,5.21,5.2,0.4,4.24,6.02,
2008-09-11,5.18,5.18,0.41,4.24,6.02,
2008-09-12,5.18,5.17,0.4,4.24,6.02,
2008-09-15,5.17,5.16,0.4,4.24,6.02,
2008-09-16,5.17,5.16,0.39,4.24,6.02,
2008-09-17,5.17,5.14,0.38,4.24,5.79,
2008-09-18,5.17,5.14,0.38,4.24,5.79,
2008-09-19,5.17,5.15,0.38,4.24,5.79,
2008-09-22,5.16,5.11,0.39,4.24,5.79,
2008-09-23,5.07,5.04,0.36,4.21,5.74,
2008-09-24,5.07,5.03,0.37,4.21,5.74,
2008-09-25,5.07,5.02,0.37,4.21,5.74,
2008-09-26,5.07,5.02,0.37,4.21,5.74,
2008-09-29,5.07,5.02,0.37,4.21,5.74,
2008-09-30,5.07,5.01,0.37,4.21,5.74,
2008-10-01,5.07,5.01,0.38,4.21,5.74,
2008-10-02,5.07,5.0,0.38,4.21,5.74,
2008-10-03,5.05,5.0,0.38,4.21,5.74,
2008-10-06,5.03,4.98,0.38,4.21,5.74,
2008-10-07,5.03,5.0,0.4,4.21,5.78,
2008-10-08,5.19,5.1,0.42,4.26,5.85,
2008-10-09,5.14,5.1,0.42,4.26,5.87,
2008-10-10,5.15,5.1,0.44,4.26,5.9,
2008-10-13,5.18,5.14,0.44,4.26,6.0,
2008-10-14,5.14,5.14,0.44,4.26,6.0,
2008-10-15,5.13,5.14,0.44,4.26,6.0,
2008-10-16,5.13,5.15,0.43,4.31,6.02,
2008-10-17,5.25,5.19,0.44,4.31,6.02,
2008-10-20,5.25,5.22,0.46,4.31,6.02,
2008-10-21,5.24,5.21,0.45,4.31,6.02,
2008-10-22,5.27,5.27,0.47,4.34,6.25,
2008-10-23,5.28,5.3,0.5,4.34,6.81,
2008-10-24,5.29,5.32,0.49,4.34,6.81,
2008-10-27,5.3,5.33,0.5,4.34,6.81,
2008-10-28,5.3,5.35,0.52,4.34,6.81,
2008-10-29,5.3,5.35,0.52,4.34,6.81,
2008-10-30,5.31,5.36,0.53,4.34,6.81,
2008-10-31,5.33,5.4,0.55,4.34,6.81,
2008-11-03,5.38,5.43,0.55,4.34,6.77,
2008-11-04,5.38,5.42,0.54,4.34,6.77,
2008-11-05,5.38,5.42,0.54,4.34,6.77,
2008-11-06,5.4,5.43,0.54,4.34,6.71,
2008-11-07,5.39,5.41,0.53,4.32,6.71,
2008-11-10,5.39,5.4,0.52,4.32,6.49,
2008-11-11,5.39,5.41,0.51,4.32,6.49,
2008-11-12,5.39,5.43,0.52,4.32,6.59,
2008-11-13,5.39,5.43,0.53,4.32,6.59,
2008-11-14,5.39,5.44,0.52,4.25,6.59,
2008-11-17,5.39,5.43,0.52,4.25,6.59,
2008-11-18,5.42,5.43,0.52,4.25,6.59,
2008-11-19,5.39,5.43,0.52,4.25,6.59,
2008-11-20,5.39,5.43,0.52,4.25,6.59,
2008-11-21,5.42,5.43,0.52,4.25,6.59,
2008-11-24,5.48,5.46,0.53,4.25,6.59,
2008-11-25,5.43,5.45,0.52,4.25,6.54,
2008-11-26,5.45,5.45,0.52,4.25,6.54,
2008-11-27,5.47,5.45,0.52,4.25,6.54,
2008-11-28,5.47,5.45,0.49,4.25,6.54,
2008-12-01,5.47,5.44,0.49,4.25,6.54,
2008-12-02,5.47,5.44,0.49,4.25,6.54,
2008-12-03,5.47,5.43,0.49,4.25,6.54,
2008-12-04,5.46,5.42,0.49,4.25,6.54,
2008-12-05,5.34,5.29,0.49,4.28,6.34,
2008-12-08,5.31,5.21,0.63,2.21,6.34,
2008-12-09,5.23,5.2,0.63,2.21,6.34,
2008-12-10,5.25,5.19,0.63,2.21,6.34,
2008-12-11,5.19,5.17,0.61,2.21,6.23,
2008-12-12,5.17,5.16,0.6,2.21,6.23,
2008-12-15,5.17,5.2,0.47,4.28,6.23,
2008-12-16,5.17,5.2,0.47,4.28,6.23,
2008-12-17,5.16,5.17,0.49,4.21,6.23,
2008-12-18,5.01,5.05,0.5,3.51,6.23,
2008-12-19,4.99,5.01,0.47,3.51,6.03,
2008-12-22,4.96,4.98,0.45,3.51,6.03,
2008-12-23,4.96,4.97,0.44,3.51,6.03,
2008-12-24,4.96,4.97,0.44,3.51,5.97,
2008-12-25,4.96,4.975,0.44,3.51,5.97,
2008-12-26,4.96,4.98,0.44,3.51,5.97,
2008-12-29,4.93,4.96,0.45,3.51,5.97,
2008-12-30,4.93,4.94,0.43,3.51,5.95,
2008-12-31,4.88,4.93,0.43,3.51,5.95,
2009-01-01,4.88,4.92,0.435,3.51,5.95,
2009-01-02,4.88,4.91,0.44,3.51,5.95,
2009-01-05,4.87,4.88,0.44,3.51,5.95,
2009-01-06,4.86,4.87,0.44,3.51,5.95,
2009-01-07,4.86,4.86,0.46,3.51,5.95,
2009-01-08,4.84,4.84,0.47,3.51,5.95,
2009-01-09,4.88,4.88,0.48,3.55,6.01,
2009-01-12,4.88,4.88,0.46,3.55,5.83,
2009-01-13,4.88,4.88,0.46,3.55,5.83,
2009-01-14,4.83,4.88,0.46,3.55,5.83,
2009-01-15,4.79,4.86,0.46,3.55,5.8,
2009-01-16,4.79,4.84,0.46,3.55,5.8,
2009-01-19,4.72,4.81,0.44,3.82,5.8,
2009-01-20,4.74,4.82,0.42,3.82,5.8,
2009-01-21,4.72,4.8,0.42,3.82,5.8,
2009-01-22,4.67,4.72,0.4,3.82,5.78,
2009-01-23,4.67,4.72,0.4,3.82,5.78,
2009-01-26,4.68,4.71,0.37,3.82,5.64,
2009-01-27,4.66,4.7,0.37,3.82,5.64,
2009-01-28,4.66,4.7,0.38,3.82,5.64,
2009-01-29,4.6,4.7,0.36,4.07,5.64,
2009-01-30,4.59,4.7,0.36,4.07,5.64,
2009-02-02,4.59,4.7,0.36,4.07,5.64,
2009-02-03,4.6,4.7,0.36,4.07,5.64,
2009-02-04,4.6,4.7,0.36,4.07,5.64,
2009-02-05,4.6,4.7,0.36,4.07,5.64,
2009-02-06,4.69,4.81,0.4,4.04,5.69,
2009-02-09,4.67,4.8,0.41,3.86,5.69,
2009-02-10,4.69,4.78,0.4,3.86,5.69,
2009-02-11,4.69,4.78,0.4,3.86,5.69,
2009-02-12,4.64,4.73,0.41,3.84,5.69,
2009-02-13,4.65,4.7,0.42,3.84,5.69,
2009-02-16,4.65,4.7,0.42,3.84,5.69,
2009-02-17,4.64,4.67,0.44,3.69,5.69,
2009-02-18,4.65,4.67,0.42,3.69,5.69,
2009-02-19,4.64,4.63,0.4,3.69,5.83,
2009-02-20,4.64,4.61,0.42,3.69,5.83,
2009-02-23,4.63,4.6066666666666665,0.42,3.69,5.83,
2009-02-24,4.62,4.6033333333333335,0.42,3.69,5.83,
2009-02-25,4.61,4.6,0.42,3.69,5.83,
2009-02-26,4.63,4.6,0.42,3.69,5.83,
2009-02-27,4.59,4.57,0.44,3.69,5.83,
2009-03-02,4.58,4.56,0.44,3.69,5.83,
2009-03-03,4.55,4.55,0.43,3.69,5.83,
